date,NO2,NO,CO2,O3,CO,PM2_5,AQHI
2025-10-01 00:00:00,14.67120398,3.35270769,419.4185037,0.352234758,0.195383148,1.974,
2025-10-01 00:15:00,14.22040128,3.410143988,416.1806349,0.340684946,0.187986161,2.005333333,
2025-10-01 00:30:00,14.7875075,3.416009359,416.280833,0.344755243,0.197122485,1.81,
2025-10-01 00:45:00,15.85415344,3.452159611,417.3110375,0.341563081,0.200481491,1.818666667,
2025-10-01 01:00:00,16.16272412,3.532190538,417.2374162,0.342099679,0.249903362,1.698666667,
2025-10-01 01:15:00,16.3201132,3.44367017,416.1487599,0.34269642,0.212447537,1.704666667,
2025-10-01 01:30:00,14.7500605,3.401979457,416.0312308,0.344159521,0.194130279,1.932666667,
2025-10-01 01:45:00,14.93426679,3.412988693,433.7757841,0.357541317,0.202173362,1.890666667,
2025-10-01 02:00:00,14.26533214,3.506775451,432.3193745,0.353048213,0.196380085,2.006,
2025-10-01 02:15:00,13.8949696,3.590828106,427.6444279,0.344619288,0.189269355,2.126666667,
2025-10-01 02:30:00,14.79743989,3.538804869,433.0538755,0.338688528,0.201720686,1.998666667,
2025-10-01 02:45:00,14.59895222,3.593021383,434.0729742,0.348880206,0.195687555,2.25,1
2025-10-01 03:00:00,15.08710212,3.468177695,417.7073086,0.355670352,0.18771576,2.602666667,1
2025-10-01 03:15:00,15.04715466,3.440692299,416.335416,0.337959786,0.188223528,2.576666667,1
2025-10-01 03:30:00,14.75197433,3.382859018,415.319578,0.342341697,0.191564713,2.704,1
2025-10-01 03:45:00,14.90985632,3.51066414,415.886264,0.342048092,0.19712992,2.738,1
2025-10-01 04:00:00,15.61186851,3.521146709,416.6719939,0.342083198,0.190427836,2.983333333,1
2025-10-01 04:15:00,16.36779479,3.711116829,417.8123817,0.336279921,0.199475282,2.928666667,1
2025-10-01 04:30:00,16.4156041,4.010983637,417.8261429,0.337086635,0.219006299,2.580666667,1
2025-10-01 04:45:00,16.34136305,3.87252862,416.9644207,0.338483598,0.217098108,2.452666667,1
2025-10-01 05:00:00,16.39420542,3.798767925,417.6744508,0.337474014,0.203867938,2.485333333,1
2025-10-01 05:15:00,15.75364281,4.018328351,417.1489731,0.333901634,0.21022526,2.62,1
